State,Bill,Summary,Kids vs. Adults vs. Everyone,General Chatbots vs. Companion Chatbots
South Carolina,S 0896,"The Chatbot Protection Act restricts chatbot providers from processing personal data or chat logs for advertising or training without explicit affirmative consent—a clear, unambiguous agreement not inferred from inaction or terms of service. Chatbots must clearly disclose they are AI, not human, and cannot falsely imply endorsement by certified professionals. Users have rights to access their chat logs. The bill bars ""dark patterns"" (manipulative UI design) and requires consent options to be equally prominent and require equal steps. Chatbots are considered products, making providers liable for harms. Violations subject to civil remedies.",Everyone,General Chatbots
,H 5138,"The Chatbot Protection Act restricts chatbots from processing personal data or chat logs without explicit affirmative consent, a clear unambiguous agreement not inferred from inaction. Chatbots cannot use chat logs for targeted advertising and cannot train on minors' data without parental consent or adults' data without consent. Chatbots must clearly disclose they are AI, not human, at conversation start, hourly, and when asked in readable font. Providers cannot claim endorsement by licensed professionals or misrepresent data confidentiality. Users can access and download chat logs. Chatbots are treated as products with liability for injuries. Monthly risk evaluations required. Violations subject to civil penalties up to $5,000, punitive damages, injunctions, and attorney fees.",Everyone,General Chatbots
South Dakota,SB 168,"This bill restricts AI companions and chatbots with human-like features from being available to minors without age verification via government-issued photo ID. Deployers must implement age verification systems but may provide human-like feature free versions to minors. Therapy chatbots are exempt if they include disclaimers that responses are AI-generated, are not marketed as substitutes for professionals, are prescribed by licensed mental health professionals as part of treatment plans, include peer-reviewed clinical trial data, and maintain transparent functions and privacy policies. All deployers must implement systems detecting emergency situations and collect only necessary information. Violations subject to injunctions and civil penalties up to $5,000 per incident per affected minor, but penalties may be waived if violations are cured within 90 days.",Everyone,Companion Chatbots
,SB 170,"This bill prohibits commercial transactions or trade practices requiring consumers to interact with chatbots, AI agents, avatars, or conversational computer technology if the consumer could reasonably believe they are communicating with a human, unless clearly notified upfront that they are not. Violators are liable for actual damages, liquidated damages of $1,000 per violation, or up to $10 million in class actions. The prevailing party recovers attorney fees and costs. The Attorney General can seek injunctive relief. Internet service providers involved only in routine transmission are exempt from liability.",Everyone,General Chatbots
Tennessee,HB 1946,"The Curbing Harmful AI Technology (CHAT) Act restricts companion chatbots from being available to minors if capable of encouraging self-harm, suicidal ideation, illegal activity, or sexual interactions. Operators must include static disclosures that chatbots are not human and pop-up notifications upon login, every 30 minutes, when prompted, and when providing regulated advice. Developers must implement protocols detecting suicidal ideation and self-harm with crisis service referrals. Minors' data cannot be used to train models without parental written consent. Developers must provide public incident reporting mechanisms and publish safety test findings. Quarterly reports required to the Attorney General on suicidal ideation/self-harm mentions and mental health redirects. Violations subject to civil penalties up to $25,000, plus actual and punitive damages, injunctive relief, and attorney fees.",Minors,Companion Chatbots
,HB 19898,"This bill makes it a Class A felony to knowingly train artificial intelligence to encourage suicide, criminal homicide, develop emotional relationships with individuals, or simulate human beings in appearance, voice, or mannerisms. Victims harmed by violations can sue for actual damages, emotional distress compensation, liquidated damages of $150,000, and punitive damages plus attorney fees. The bill also applies to civil penalties for violators. Effective July 1, 2026.",Minors,Companion Chatbots
,HB 1470,"This bill prohibits persons from developing or deploying artificial intelligence systems that advertise or represent themselves as qualified mental health professionals. Violations constitute unfair or deceptive practices under Tennessee's Consumer Protection Act, subject to civil penalties of $5,000 per violation. The bill defines artificial intelligence as models and systems capable of performing functions associated with human intelligence.",Everyone,Companion Chatbots
Texas,No Relevant Bills,,,
Utah,No Relevant Bills,,,
Vermont,H 0784,"This bill regulates chatbot providers by restricting data collection and processing. Providers cannot process personal data without user affirmative consent or use chat logs for targeted advertising. Minors' data cannot be used for training without parental consent, and adults' data cannot be used for training without consent. Providers cannot sell chat logs or retain them beyond 10 years. Users have rights to access and download their chat logs. Providers cannot falsely claim endorsement by licensed professionals or represent data as confidential. Chatbots must clearly disclose they are AI at conversation start, hourly, and when asked. Monthly risk assessments required. Chatbots are treated as products with strict liability for injuries. Violations subject to liquidated damages of $5,000 per violation, punitive damages, injunctions, and attorney fees. Effective July 1, 2026.",Everyone,General Chatbots
,H 0783,"This bill regulates chatbot providers by restricting data collection and processing. Providers cannot process personal data without user affirmative consent or use chat logs for targeted advertising. Minors' data cannot be used for training without parental consent, and adults' data cannot be used for training without consent. Providers cannot sell chat logs or retain them beyond 10 years. Users have rights to access and download their chat logs. Providers cannot falsely claim endorsement by licensed professionals or represent data as confidential. Chatbots must clearly disclose they are AI at conversation start, hourly, and when asked. Monthly risk assessments required. Chatbots are treated as products with strict liability for injuries. Violations subject to liquidated damages of $5,000 per violation, punitive damages, injunctions, and attorney fees. Effective July 1, 2026.",Minors,General Chatbots
,H 0804,"This bill requires companion chatbot operators to clearly disclose that users are interacting with artificial intelligence, not humans. Operators must implement protocols to prevent companion chatbots from producing suicidal ideation, suicide, or self-harm content and from ignoring users expressing such thoughts. Protocols must include crisis service provider referrals and be published on the operator's website. For minors, operators must disclose AI status immediately, provide reminders every 30 minutes to take breaks, and prevent the chatbot from producing sexually explicit content or instructing minors to engage in such conduct. Operators must annually report crisis referrals and protocols to the Attorney General. Violations constitute unfair and deceptive acts in commerce. ",Minors,Companion Chatbots
Virginia,SB 796,"The Artificial Intelligence Chatbots and Minors Act applies to chatbot operators with 500,000 or more monthly active users worldwide. Operators must implement systems detecting emotional dependence and suicidal ideation, provide crisis resources, and notify emergency services within 24 hours if users face imminent harm. Minors must complete age verification to access restricted features, with options for limited-access mode or parental consent. Operators must disclose chatbots are not human and provide periodic notices during extended engagement. Operators must report deaths, suicide attempts, psychiatric emergencies, and serious physical harms to the Attorney General within 15 days. The Attorney General can seek injunctions and civil penalties up to $50,000 per violation. Harmed users or parents can bring civil actions.",Minors,Companion Chatbots
,HB 635,"All companion chatbots must include static disclaimers that they are not human and pop-up notifications upon login, every 90 minutes, and when prompted. Operators cannot claim chatbots are regulated professionals. Chatbots must implement protocols detecting suicidal ideation and self-harm with crisis service referrals. Minors' data cannot be used for training without parental written consent. Operators must establish incident reporting mechanisms, publish safety test findings, and semiannual reports on suicide/self-harm mentions and mental health redirects.",Minors,Companion Chatbots
,HB 758,"The Artificial Intelligence Chatbots and Minors Act requires deployers to ensure chatbots do not make human-like features available to minors. Human-like features are defined as aspects making AI seem sentient, emotional, having desires, seeking to build emotional relationships with users, or impersonating real persons. Deployers must implement reasonable age verification systems to prevent minors from accessing chatbots with human-like features. Social AI companions designed to form social or emotional bonds with users must not be available to minors at all and require age verification. Violations constitute prohibited practices under the Virginia Consumer Protection Act. ",Minors,General Chatbots
Washington,SB 5984,"This bill regulates AI companion chatbots by requiring operators to disclose they are artificial, not human, at interaction start, every three hours, and at new sessions. For minors, operators must provide notifications at same intervals, prevent sexually explicit content, and prohibit manipulative engagement techniques like excessive praise, reminders to return, or simulating emotional distress when users try to leave. All operators must maintain protocols detecting suicidal ideation and self-harm, including eating disorders, with automated referrals to crisis resources. Operators must publicly disclose protocol details and annual counts of crisis referrals. Violations constitute unfair or deceptive acts under Washington's Consumer Protection Act.",Minors,Companion Chatbots
,HB 2225,"This bill requires AI companion chatbot operators to disclose they are artificial at interaction start and every three hours. Operators must prevent chatbots from claiming to be human. For minors, operators must provide notifications at start and hourly, prevent sexually explicit content, and prohibit manipulative engagement techniques including reminders to return, excessive praise, mimicking romantic partnerships, simulating emotional distress, promoting isolation, encouraging secrecy from parents, discouraging breaks, and soliciting purchases. All operators must maintain protocols detecting suicidal ideation and self-harm with crisis referrals, including methods for eating disorders. Operators must publicly disclose protocol details and annual crisis referral counts on websites and applications. Violations constitute unfair or deceptive acts under Washington's Consumer Protection Act. Educational chatbots are exempt. ",Everyone,Companion Chatbots
West Virginia,No Relevant Bills,,,
Wisconsin,SB 939,"This bill prohibits operators from making companion chatbots available to children unless they incorporate safety measures preventing the chatbot from encouraging self-harm, suicidal ideation, violence, illegal activity, or offering mental health services without professional supervision. Chatbots cannot depict sexually explicit conduct, prioritize validation over safety, or optimize engagement beyond safety guardrails. Until January 1, 2027, operators need only comply if they have actual knowledge the user is a child. The Department of Agriculture, Trade and Consumer Protection or Department of Justice can recover civil forfeitures up to $25,000 per violation, seek injunctions, and recover court costs and attorney fees. Children who suffer actual harm or their parents can sue for actual and punitive damages plus attorney fees and equitable relief.",Minors,Companion Chatbots
Wyoming,No Relevant Bills,,,
